,0
0,"LOCAL AGREEMENT  
"
1,"relating to the provision of outsourced IT and other services 
 
"
2,"THIS LOCAL AGREEMENT is entered into on 17th October of 2016 
"
3,"BETWEEN  
"
4,"(1) [Customer Local Entity] (""Local Customer""); and 
"
5,"(2)  PROQUIRE LLC, a Delaware limited liability company, having a place of business at 161 
"
6,"North Clark Street, Chicago, Illinois 60601 (""Supplier""). 
"
7,"BACKGROUND: 
"
8,"A RECKITT BENCKISER CORPORATE SERVICES LIMITED and ACCENTURE (UK) 
LIMITED have entered into an Master Services Agreement for the provision of IT and other 
"
9,"Services, dated 16TH August 2016 (""MSA""). 
"
10,"B Pursuant to the MSA, the Customer and the Supplier now wish to enter into this Local 
Agreement to enable the Customer to take the benefit of the MSA and receive the Services from 
"
11,"the Supplier subject to its terms. 
"
12,"C Certain of the Services to be provided pursuant to the MSA will be provided by the Supplier in 
Mexico which is local to the parties to this Local Agreement as set out in appendix 1 to this 
"
13,"Local Agreement (""Country""). 
"
14,"D The Customer and the Supplier wish to facilitate local to local contracting and invoicing, by 
way of this Local Agreement. 
"
15,"IT IS NOW AGREED as follows: 
"
16,"1. BENEFIT OF THE LOCAL AGREEMENT 
"
17,"The Supplier and the Customer agree as follows: 
"
18,"1.1 The Services to be provided by the Supplier to the Customer shall be provided to the Customer 
on the basis that the Customer takes the benefit of the Services subject to the terms and 
"
19,"conditions of the MSA (as amended from time to time) and the Contracts (Rights of Third 
"
20,"Parties) Act 1999; 
"
21,"1.2 Any issues of liability of the Supplier to the Customer shall be subject to the limitations and 
exclusions contained in the MSA;  
"
22,"1.3 This Local Agreement shall be exclusively governed by, and construed in accordance with the 
laws of England and Wales save as may be explicitly stated to the contrary in appendix 1; and 
"
23,"1.4 The Customer and the Supplier submit to the exclusive jurisdiction of the English courts to 
settle any dispute arising out of this Local Agreement and/or the MSA. 
"
24,"Commented [FS1]: RB to confirm local company name 
"
25,Commented [FS2]: Need Accenture India company name 
26,"2. PROVISION OF LOCAL SERVICES 
"
27,"2.1 As set out in clause Error! Reference source not found. of the MSA, this Local Agreement 
is entered into so as to address: 
"
